id,t,r,g,b
1,97,255,0,82
2,124,77,0,255
3,83,255,189,0
4,43,255,82,0
5,50,208,255,0
6,126,255,118,0
7,9,255,187,0
8,30,0,51,255
9,108,46,255,0
10,135,255,0,233
11,18,0,39,255
12,39,255,141,0
13,34,0,254,255
14,129,0,210,255
15,42,133,0,255
16,102,52,255,0
17,52,255,138,0
18,122,255,0,125
19,75,220,0,255
20,127,255,0,236
21,88,188,0,255
22,75,255,105,0
23,22,0,146,255
24,53,255,122,0
25,78,140,0,255
26,37,255,232,0
27,90,31,0,255
28,59,0,58,255
29,20,105,0,255
30,87,0,100,255
31,3,0,229,255
32,68,0,255,108
33,18,0,64,255
34,105,0,163,255
35,54,0,247,255
36,92,255,0,38
37,10,223,255,0
38,46,0,156,255
39,100,255,0,162
40,31,255,87,0

