id,t,r,g,b
1,143,255,0,183
2,82,190,0,255
3,57,255,0,2
4,88,0,255,145
5,59,255,236,0
6,32,255,0,80
7,17,0,255,105
8,2,84,0,255
9,22,255,0,89
10,6,118,255,0
11,64,255,156,0
12,6,0,255,208
13,78,255,155,0
14,118,255,124,0
15,113,64,255,0
16,17,174,255,0
17,42,0,117,255
18,133,232,0,255
19,85,255,0,178
20,98,255,0,229
21,32,255,0,2
22,49,104,0,255
23,21,255,0,101
24,135,0,255,224
25,29,232,255,0
26,115,0,52,255
27,25,255,0,73
28,23,0,255,183
29,145,0,225,255
30,7,0,40,255
31,117,0,255,6
32,17,255,100,0
33,48,0,255,119
34,42,0,255,159
35,105,0,68,255
36,7,0,201,255
37,134,0,6,255
38,107,216,255,0
39,98,255,0,131
40,91,255,0,115

