id,t,r,g,b
1,107,0,255,88
2,0,255,0,27
3,95,0,191,255
4,112,0,13,255
5,78,0,255,197
6,61,89,255,0
7,59,29,0,255
8,58,0,255,113
9,26,0,255,233
10,46,255,0,70
11,140,255,9,0
12,91,255,0,28
13,84,255,0,24
14,148,0,255,25
15,96,141,255,0
16,143,203,0,255
17,116,255,198,0
18,58,0,49,255
19,20,0,255,70
20,18,0,255,140
21,6,30,0,255
22,76,0,255,131
23,42,0,255,80
24,88,241,255,0
25,88,0,255,170
26,29,0,255,108
27,96,255,210,0
28,57,255,0,15
29,26,255,45,0
30,122,0,251,255
31,113,0,75,255
32,85,15,255,0
33,124,0,255,84
34,53,255,194,0
35,75,255,74,0
36,54,105,255,0
37,101,0,83,255
38,78,197,0,255
39,47,0,255,24
40,86,0,242,255

