id,t,r,g,b
1,28,255,0,99
2,91,255,0,129
3,104,255,35,0
4,114,149,255,0
5,72,255,92,0
6,9,0,82,255
7,19,255,233,0
8,122,0,48,255
9,1,0,185,255
10,32,170,0,255
11,117,255,161,0
12,113,255,85,0
13,21,69,0,255
14,96,255,0,197
15,118,38,0,255
16,103,255,0,218
17,30,0,51,255
18,0,136,0,255
19,49,255,66,0
20,86,255,175,0
21,119,0,198,255
22,95,255,215,0
23,50,255,33,0
24,65,255,0,133
25,1,164,255,0
26,23,94,255,0
27,106,84,0,255
28,111,152,0,255
29,102,238,255,0
30,86,0,95,255
31,133,85,255,0
32,104,231,0,255
33,66,0,255,35
34,89,0,155,255
35,8,0,255,102
36,124,0,137,255
37,33,255,62,0
38,107,255,0,11
39,131,70,0,255
40,135,0,213,255

