id,t,r,g,b
1,76,0,255,118
2,136,0,255,227
3,118,102,0,255
4,99,0,152,255
5,66,60,0,255
6,66,0,251,255
7,147,0,255,220
8,125,255,207,0
9,29,0,255,139
10,5,0,255,120
11,10,0,255,135
12,124,84,0,255
13,29,255,0,78
14,53,0,255,98
15,93,144,255,0
16,18,0,187,255
17,148,0,9,255
18,48,210,0,255
19,15,204,255,0
20,20,156,0,255
21,7,13,255,0
22,28,145,0,255
23,147,28,0,255
24,0,255,173,0
25,40,0,255,91
26,147,0,29,255
27,11,0,255,85
28,71,46,255,0
29,84,0,6,255
30,50,247,255,0
31,111,255,82,0
32,131,0,255,74
33,90,255,0,216
34,83,119,255,0
35,92,255,82,0
36,49,255,0,94
37,70,187,255,0
38,107,46,255,0
39,72,0,241,255
40,17,204,0,255

