id,t,r,g,b
1,58,7,255,0
2,87,0,255,140
3,52,255,0,218
4,45,182,0,255
5,38,0,123,255
6,60,94,0,255
7,83,0,123,255
8,110,63,255,0
9,99,255,0,243
10,88,0,255,25
11,62,0,255,211
12,30,255,0,41
13,11,98,0,255
14,145,255,0,181
15,12,30,0,255
16,85,244,255,0
17,134,255,0,45
18,103,255,0,28
19,146,0,24,255
20,40,0,66,255
21,138,255,185,0
22,135,106,0,255
23,132,255,66,0
24,76,0,137,255
25,16,0,255,92
26,108,0,140,255
27,51,0,255,158
28,55,255,0,242
29,76,190,255,0
30,92,156,0,255
31,138,255,121,0
32,40,0,181,255
33,120,0,255,233
34,93,255,148,0
35,41,0,246,255
36,133,20,255,0
37,132,255,0,61
38,39,177,0,255
39,48,255,160,0
40,113,255,0,126

